Team,Player,SofascoreScore
Crystal Palace,James Tomkins,6.43
Luton Town,Daiki Hashioka,6.43
Chelsea,Ian Maatsen,6.43
West Ham United,Kalvin Phillips,6.43
Liverpool,Bobby Clark,6.43
Manchester United,Willy Kambwala,6.41
Newcastle United,Loris Karius,6.4
Sheffield United,Sam Curtis,6.4
Tottenham Hotspur,Mikey Moore,6.4
Aston Villa,Kaine Kesler-Hayden,6.4
Sheffield United,Anis Ben Slimane,6.4
Aston Villa,Omari Kellyman,6.4
Liverpool,Thiago Alcántara,6.4
Aston Villa,Jaden Philogene Bidace,6.4
Aston Villa,Bertrand Traoré,6.4
Sheffield United,Antwoine Hackford,6.4
Wolverhampton,Fábio Silva,6.39
Sheffield United,John Egan,6.38
Bournemouth,Jaidon Anthony,6.37
Sheffield United,Benie Adama Traoré,6.36
Luton Town,Fred Onyedinma,6.35
Sheffield United,Tom Davies,6.34
Nottingham Forest,Brandon Aguilera,6.3
Sheffield United,Ryan One,6.3
Newcastle United,Matt Targett,6.2
Sheffield United,Rhys Norrington-Davies,6.17
Crystal Palace,Remi Matthews,6.1
Sheffield United,Mason Holgate,6.09
Bournemouth,Ionuț Radu,6.05
Newcastle United,Paul Dummett,5.9
Luton Town,Joseph Johnson,5.8
Fulham,Luke Harris,5.8
